Wavelength (nm),Optical Density,Transmission (%)
766,6.89633,1.27E-05
765,6.78098,1.66E-05
764,7.23304,5.85E-06
763,7.04883,8.94E-06
762,6.86461,1.37E-05
761,6.47889,3.32E-05
760,6.83401,1.47E-05
759,6.57862,2.64E-05
758,6.64851,2.25E-05
757,6.3474,4.49E-05
756,6.14623,7.14E-05
755,6.61131,2.45E-05
754,6.39687,4.01E-05
753,6.31942,4.79E-05
752,6.26116,5.48E-05
751,6.29309,5.09E-05
750,6.46502,3.43E-05
749,6.64697,2.25E-05
748,6.75339,1.76E-05
747,7.05417,8.83E-06
746,7.10891,7.78E-06
745,7.16365,6.86E-06
744,6.86233,1.37E-05
743,7.24693,5.66E-06
742,7.23552,5.81E-06
741,6.83191,1.47E-05
740,6.77742,1.67E-05
739,6.20127,6.29E-05
738,6.33539,4.62E-05
737,6.5024,3.14E-05
736,6.80287,1.57E-05
735,7.30768,4.92E-06
734,7.40473,3.94E-06
733,7.04466,9.02E-06
732,6.68458,2.07E-05
731,6.66425,2.17E-05
730,6.62615,2.37E-05
729,6.54416,2.86E-05
728,6.48765,3.25E-05
727,6.29845,5.03E-05
726,6.37225,4.24E-05
725,6.8015,1.58E-05
724,7.40341,3.95E-06
723,7.48242,3.29E-06
722,7.45388,3.52E-06
721,7.42533,3.76E-06
720,6.85897,1.38E-05
719,6.78135,1.65E-05
718,6.70372,1.98E-05
717,6.42466,3.76E-05
716,6.32294,4.75E-05
715,6.42465,3.76E-05
714,6.58946,2.57E-05
713,6.60604,2.48E-05
712,6.58895,2.58E-05
711,7.15896,6.93E-06
710,7.30505,4.95E-06
709,6.49877,3.17E-05
708,6.60572,2.48E-05
707,7.10035,7.94E-06
706,7.37565,4.21E-06
705,7.46972,3.39E-06
704,7.40138,3.97E-06
703,6.79895,1.59E-05
702,6.72419,1.89E-05
701,6.96133,1.09E-05
700,7.30362,4.97E-06
699,6.68052,2.09E-05
698,6.70126,1.99E-05
697,6.58715,2.59E-05
696,6.06784,8.55E-05
695,5.76165,1.73E-04
694,5.70753,1.96E-04
693,5.81722,1.52E-04
692,6.07782,8.36E-05
691,6.48358,3.28E-05
690,6.62175,2.39E-05
689,6.47023,3.39E-05
688,6.39954,3.99E-05
687,6.2857,5.18E-05
686,6.13802,7.28E-05
685,6.06685,8.57E-05
684,6.03767,9.17E-05
683,6.19506,6.38E-05
682,6.44451,3.59E-05
681,6.67808,2.10E-05
680,6.82436,1.50E-05
679,6.85427,1.40E-05
678,6.79618,1.60E-05
677,6.92113,1.20E-05
676,7.32566,4.72E-06
675,7.35516,4.41E-06
674,6.99981,1.00E-05
673,6.65771,2.20E-05
672,6.55313,2.80E-05
671,6.22894,5.90E-05
670,6.13098,7.40E-05
669,6.25182,5.60E-05
668,6.44294,3.61E-05
667,6.61917,2.40E-05
666,6.99922,1.00E-05
665,6.99935,1.00E-05
